
Date,14/01/2022
Capstone,Not Started,00:00:00
DIP Research,Not Started,00:00:00
Streben,Not Started,00:00:00
IELTS,Not Started,00:00:00
AEC Course,Not Started,00:00:00
College Stuff,Not Started,00:00:00
Projects,Not Started,00:00:00

Date,14/01/2022
Capstone,Not Started,00:00:00
DIP Research,Not Started,00:00:00
Streben HealthCare,Not Started,00:00:00
IELTS,Not Started,00:00:00
AEC Course,Not Started,00:00:00
College Stuff,Not Started,00:00:00
Projects,Not Started,00:00:00
Test1,Not Started,00:00:00
Test2,Not Started,00:00:00
Test3,Not Started,00:00:00
Test4,Not Started,00:00:00
Test5,Not Started,00:00:00

Date,14/01/2022
Capstone,Not Started,00:00:00
DIP Research,Not Started,00:00:00
Streben HealthCare,Not Started,00:00:00
IELTS,Not Started,00:00:00
AEC Course,Not Started,00:00:00
College Stuff,Not Started,00:00:00
Projects,Not Started,00:00:00
Test1,Not Started,00:00:00
Test2,Not Started,00:00:00
Test3,Not Started,00:00:00
Test4,Not Started,00:00:00
Test5,Not Started,00:00:00
,Not Started,00:00:00
Help!!,Not Started,00:00:00

Date,14/01/2022
Capstone,Not Started,00:00:00
DIP Research,Not Started,00:00:00
Streben HealthCare,Done,00:00:03
IELTS,Not Started,00:00:00
AEC Course,Not Started,00:00:00
College Stuff,Not Started,00:00:00
Projects,Not Started,00:00:00
Testing123,Not Started,00:00:00
Test,Not Started,00:00:00
Test3,Done,00:00:05
Help is on the way,Not Started,00:00:00
